Date,County,County_2020-10-23,County_2020-10-24,County_2020-10-25,County_2020-10-26,County_2020-10-27,County_2020-10-28,County_2020-10-29,County_2020-10-30,County_2020-10-31,County_2020-11-01,County_2020-11-02,County_2020-11-03,County_2020-11-04,County_2020-11-05,County_2020-11-06,County_2020-11-07,County_2020-11-08,County_2020-11-09,County_2020-11-10,County_2020-11-11,County_2020-11-12,County_2020-11-13,County_2020-11-14,State,State_2020-10-23,State_2020-10-24,State_2020-10-25,State_2020-10-26,State_2020-10-27,State_2020-10-28,State_2020-10-29,State_2020-10-30,State_2020-10-31,State_2020-11-01,State_2020-11-02,State_2020-11-03,State_2020-11-04,State_2020-11-05,State_2020-11-06,State_2020-11-07,State_2020-11-08,State_2020-11-09,State_2020-11-10,State_2020-11-11,State_2020-11-12,State_2020-11-13,State_2020-11-14,Status,Status_2020-10-23,Status_2020-10-24,Status_2020-10-25,Status_2020-10-26,Status_2020-10-27,Status_2020-10-28,Status_2020-10-29,Status_2020-10-30,Status_2020-10-31,Status_2020-11-01,Status_2020-11-02,Status_2020-11-03,Status_2020-11-04,Status_2020-11-05,Status_2020-11-06,Status_2020-11-07,Status_2020-11-08,Status_2020-11-09,Status_2020-11-10,Status_2020-11-11,Status_2020-11-12,Status_2020-11-13,Status_2020-11-14,University,University_2020-10-23,University_2020-10-24,University_2020-10-25,University_2020-10-26,University_2020-10-27,University_2020-10-28,University_2020-10-29,University_2020-10-30,University_2020-10-31,University_2020-11-01,University_2020-11-02,University_2020-11-03,University_2020-11-04,University_2020-11-05,University_2020-11-06,University_2020-11-07,University_2020-11-08,University_2020-11-09,University_2020-11-10,University_2020-11-11,University_2020-11-12,University_2020-11-13,University_2020-11-14
2020-07-07,13.0,13.0,13.0,13.0,13.0,13.0,12.999999999999998,13.0,13.0,13.0,13.0,13.000000000000002,13.0,13.0,13.000000000000002,13.000000000000002,13.000000000000002,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1695.9999999999998,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1695.9999999999998,1696.0,1696.0,1696.0,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-08,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.999999999999998,15.0,15.0,15.000000000000002,15.000000000000002,15.0,14.999999999999998,15.0,15.000000000000002,15.000000000000002,15.0,15.000000000000002,15.0,15.0,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.5,1328.4999999999998,1328.5,1328.5,1328.5,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-07-09,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666668,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666664,15.666666666666668,15.666666666666668,15.666666666666664,15.666666666666664,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0000000000002,1219.0,1219.0,1219.0,1219.0,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-07-10,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.500000000000002,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,1244.0,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2020-07-11,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.000000000000002,14.0,14.0,14.0,13.999999999999998,14.0,14.0,13.999999999999998,14.000000000000002,13.999999999999998,14.0,14.000000000000002,14.0,14.0,14.0,14.0,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,1230.2,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
2020-07-12,12.0,12.0,12.0,11.999999999999998,12.0,12.0,12.0,12.0,11.999999999999998,12.000000000000002,12.0,12.0,12.0,11.999999999999998,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,1183.8333333333333,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
2020-07-13,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857146,10.142857142857142,10.142857142857142,10.14285714285714,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,10.142857142857142,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,1140.7142857142858,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286
2020-07-14,10.285714285714283,10.285714285714283,10.285714285714286,10.285714285714286,10.285714285714283,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,10.285714285714286,997.1428571428571,997.1428571428571,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428571,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428571,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428572,997.1428571428572,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.7142857142857142,1.7142857142857142,1.7142857142857144,1.714285714285714,1.7142857142857144,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857144,1.714285714285714,1.7142857142857142,1.7142857142857142,1.7142857142857144,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142
2020-07-15,11.571428571428573,11.571428571428573,11.571428571428571,11.571428571428573,11.571428571428573,11.571428571428573,11.571428571428573,11.571428571428573,11.571428571428573,11.571428571428573,11.571428571428571,11.571428571428571,11.571428571428573,11.571428571428571,11.571428571428573,11.571428571428573,11.571428571428573,11.571428571428573,11.571428571428573,11.571428571428573,11.571428571428573,11.571428571428573,11.571428571428573,11.571428571428573,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,1024.857142857143,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856
2020-07-16,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285712,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,1057.0,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432,3.1428571428571432
