Date,County,County_2020-10-14,County_2020-10-15,County_2020-10-16,County_2020-10-17,County_2020-10-18,County_2020-10-19,County_2020-10-20,County_2020-10-21,County_2020-10-22,County_2020-10-23,County_2020-10-24,County_2020-10-25,County_2020-10-26,County_2020-10-27,County_2020-10-28,County_2020-10-29,County_2020-10-30,County_2020-10-31,County_2020-11-01,County_2020-11-02,County_2020-11-03,County_2020-11-04,County_2020-11-05,County_2020-11-06,County_2020-11-07,County_2020-11-08,County_2020-11-09,County_2020-11-10,County_2020-11-11,County_2020-11-12,County_2020-11-13,County_2020-11-14,State,State_2020-10-14,State_2020-10-15,State_2020-10-16,State_2020-10-17,State_2020-10-18,State_2020-10-19,State_2020-10-20,State_2020-10-21,State_2020-10-22,State_2020-10-23,State_2020-10-24,State_2020-10-25,State_2020-10-26,State_2020-10-27,State_2020-10-28,State_2020-10-29,State_2020-10-30,State_2020-10-31,State_2020-11-01,State_2020-11-02,State_2020-11-03,State_2020-11-04,State_2020-11-05,State_2020-11-06,State_2020-11-07,State_2020-11-08,State_2020-11-09,State_2020-11-10,State_2020-11-11,State_2020-11-12,State_2020-11-13,State_2020-11-14,Status,Status_2020-10-14,Status_2020-10-15,Status_2020-10-16,Status_2020-10-17,Status_2020-10-18,Status_2020-10-19,Status_2020-10-20,Status_2020-10-21,Status_2020-10-22,Status_2020-10-23,Status_2020-10-24,Status_2020-10-25,Status_2020-10-26,Status_2020-10-27,Status_2020-10-28,Status_2020-10-29,Status_2020-10-30,Status_2020-10-31,Status_2020-11-01,Status_2020-11-02,Status_2020-11-03,Status_2020-11-04,Status_2020-11-05,Status_2020-11-06,Status_2020-11-07,Status_2020-11-08,Status_2020-11-09,Status_2020-11-10,Status_2020-11-11,Status_2020-11-12,Status_2020-11-13,Status_2020-11-14,University,University_2020-10-14,University_2020-10-15,University_2020-10-16,University_2020-10-17,University_2020-10-18,University_2020-10-19,University_2020-10-20,University_2020-10-21,University_2020-10-22,University_2020-10-23,University_2020-10-24,University_2020-10-25,University_2020-10-26,University_2020-10-27,University_2020-10-28,University_2020-10-29,University_2020-10-30,University_2020-10-31,University_2020-11-01,University_2020-11-02,University_2020-11-03,University_2020-11-04,University_2020-11-05,University_2020-11-06,University_2020-11-07,University_2020-11-08,University_2020-11-09,University_2020-11-10,University_2020-11-11,University_2020-11-12,University_2020-11-13,University_2020-11-14
2020-08-14,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,156.99999999999997,157.0,157.0,157.0,156.99999999999997,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,6.0,6.0,6.0,6.0,6.0,6.0,6.000000000000001,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.999999999999999,5.999999999999999,6.0,6.0,6.000000000000001,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2020-08-15,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,967.5,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,13.499999999999998,13.499999999999998,13.499999999999998,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.500000000000002,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.499999999999998,13.499999999999998,13.499999999999998
2020-08-16,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333334,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333334,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333331,126.33333333333334,126.33333333333334,126.33333333333334,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666667,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666667,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666667,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,810.6666666666665,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668
2020-08-17,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.2499999999999,769.2499999999999,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,769.25,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
2020-08-18,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.8,123.79999999999998,123.79999999999998,123.8,123.79999999999998,123.8,123.8,123.8,123.8,123.8,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,757.9999999999999,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.000000000000002,15.000000000000002,15.0,15.000000000000002,15.0,15.0,15.0,15.0,15.0
2020-08-19,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,129.16666666666666,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.4999999999999,766.5,766.5,766.5000000000001,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,13.499999999999998,13.499999999999998,13.499999999999998,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.500000000000002,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.499999999999998,13.499999999999998,13.499999999999998
2020-08-20,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,133.85714285714286,793.0,793.0,793.0,793.0,793.0,793.0,793.0,793.0,793.0,793.0,793.0,793.0,793.0,792.9999999999999,793.0,792.9999999999999,793.0,793.0,793.0,793.0,793.0000000000001,793.0,793.0000000000001,793.0,793.0,793.0,793.0,793.0,793.0,793.0,793.0,793.0,793.0,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715,12.714285714285715
2020-08-21,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,133.71428571428572,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,779.9999999999999,779.9999999999999,780.0,780.0000000000001,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285,13.285714285714285
2020-08-22,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,131.71428571428572,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714283,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,783.5714285714287,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,12.0,12.0,12.0,12.0,12.0,12.0,12.000000000000002,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.999999999999998,11.999999999999998,12.0,12.0,12.000000000000002,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2020-08-23,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,130.28571428571428,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,790.5714285714287,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.857142857142858,9.85714285714286,9.857142857142858,9.857142857142858,9.857142857142858
