Date,County,County_2020-10-14,County_2020-10-15,County_2020-10-16,County_2020-10-17,County_2020-10-18,County_2020-10-19,County_2020-10-20,County_2020-10-21,County_2020-10-22,County_2020-10-23,County_2020-10-24,County_2020-10-25,County_2020-10-26,County_2020-10-27,County_2020-10-28,County_2020-10-29,County_2020-10-30,County_2020-10-31,County_2020-11-01,County_2020-11-02,County_2020-11-03,County_2020-11-04,County_2020-11-05,County_2020-11-06,County_2020-11-07,County_2020-11-08,County_2020-11-09,County_2020-11-10,County_2020-11-11,County_2020-11-12,County_2020-11-13,County_2020-11-14,State,State_2020-10-14,State_2020-10-15,State_2020-10-16,State_2020-10-17,State_2020-10-18,State_2020-10-19,State_2020-10-20,State_2020-10-21,State_2020-10-22,State_2020-10-23,State_2020-10-24,State_2020-10-25,State_2020-10-26,State_2020-10-27,State_2020-10-28,State_2020-10-29,State_2020-10-30,State_2020-10-31,State_2020-11-01,State_2020-11-02,State_2020-11-03,State_2020-11-04,State_2020-11-05,State_2020-11-06,State_2020-11-07,State_2020-11-08,State_2020-11-09,State_2020-11-10,State_2020-11-11,State_2020-11-12,State_2020-11-13,State_2020-11-14,Status,Status_2020-10-14,Status_2020-10-15,Status_2020-10-16,Status_2020-10-17,Status_2020-10-18,Status_2020-10-19,Status_2020-10-20,Status_2020-10-21,Status_2020-10-22,Status_2020-10-23,Status_2020-10-24,Status_2020-10-25,Status_2020-10-26,Status_2020-10-27,Status_2020-10-28,Status_2020-10-29,Status_2020-10-30,Status_2020-10-31,Status_2020-11-01,Status_2020-11-02,Status_2020-11-03,Status_2020-11-04,Status_2020-11-05,Status_2020-11-06,Status_2020-11-07,Status_2020-11-08,Status_2020-11-09,Status_2020-11-10,Status_2020-11-11,Status_2020-11-12,Status_2020-11-13,Status_2020-11-14,University,University_2020-10-14,University_2020-10-15,University_2020-10-16,University_2020-10-17,University_2020-10-18,University_2020-10-19,University_2020-10-20,University_2020-10-21,University_2020-10-22,University_2020-10-23,University_2020-10-24,University_2020-10-25,University_2020-10-26,University_2020-10-27,University_2020-10-28,University_2020-10-29,University_2020-10-30,University_2020-10-31,University_2020-11-01,University_2020-11-02,University_2020-11-03,University_2020-11-04,University_2020-11-05,University_2020-11-06,University_2020-11-07,University_2020-11-08,University_2020-11-09,University_2020-11-10,University_2020-11-11,University_2020-11-12,University_2020-11-13,University_2020-11-14
2020-08-08,55.0,55.0,54.99999999999999,55.00000000000001,55.0,55.0,55.0,54.99999999999999,54.99999999999999,54.99999999999999,55.0,55.0,55.0,55.0,55.0,55.0,54.99999999999999,55.0,55.0,55.0,55.0,55.0,55.0,55.00000000000001,55.0,55.0,54.99999999999999,55.0,55.0,55.0,55.00000000000001,55.0,55.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-09,49.5,49.5,49.50000000000001,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.50000000000001,49.5,49.50000000000001,49.5,49.5,49.5,49.5,49.5,49.5,842.9999999999999,842.9999999999999,842.9999999999999,843.0,842.9999999999999,843.0,843.0,843.0,843.0,843.0,843.0,843.0,843.0,843.0,843.0,843.0,843.0,843.0,843.0,843.0,843.0000000000001,843.0,843.0,843.0,843.0000000000001,843.0,843.0,843.0,843.0,843.0000000000001,843.0,843.0,843.0,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2020-08-10,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.00000000000001,39.0,39.0,39.0,38.99999999999999,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0000000000001,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-08-11,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.7500000000001,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,718.75,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2020-08-12,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.1999999999998,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,660.2,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-13,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,701.3333333333335,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-14,43.71428571428571,43.71428571428571,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.71428571428571,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,43.714285714285715,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,735.1428571428571,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-15,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,40.285714285714285,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857144,690.2857142857144,690.2857142857142,690.2857142857144,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,690.2857142857142,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858
2020-08-16,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,43.28571428571429,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,696.2857142857142,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286
2020-08-17,44.285714285714285,44.285714285714285,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.285714285714285,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,687.8571428571429,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286
